ENERGY STAR Unique ID,Brand Name,Model Name,Model Number,Additional Model Information,UPC,Type,Heat Pump Technology,Voltage (V),Drum Capacity (cu-ft),Height (inches),Width (inches),Depth (inches),Combined Energy Factor (CEF),Estimated Annual Energy Use (kWh/yr),Estimated Energy Test Cycle Time (min),Energy Test Cycle Information,Additional Dryer Features,Vented or Ventless,Connected,Connects Using,Communication Standard - Application Layer,Direct on-premises Open-standard Based Interconnection,Calculated Combined Energy Factor - Max Dryness Setting (lbs/kWh),Paired ENERGY STAR Clothes Washer Available,Paired ENERGY STAR Clothes Washer ENERGY STAR Model Identifier,Date Available on Market,Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2019 Criteria
2289057,Beko,HPD24412W,HPD24412W,,7188286010,Ventless Electric Compact 240V,Heat Pump,240,4.1,34,23.5,27,5.7,149,46,NORMAL REGULAR DRY,"Time remaining display,Drum light,Filter cleaning indicator",Ventless,No,,,,5.78,Yes,"2318078, 2318130, 2318128, 2318131",10/01/2015,01/20/2017,"United States, Canada",ES_1036108_HPD24412W_01202017203310_4390623,Yes
2289054,Blomberg,DHP24400W,DHP24400W,,7188286030,Ventless Electric Compact 240V,Heat Pump,240,4.1,34,23.5,27,5.7,149,46,NORMAL REGULAR DRY,"Time remaining display,Drum light,Filter cleaning indicator",Ventless,No,,,,5.78,Yes,"2318079, 2318129, 2318132, 2318133",06/01/2015,01/20/2017,"United States, Canada",ES_1036108_DHP24400W_01202017210302_6182999,Yes
2289055,Blomberg,DHP24412W,DHP24412W,,7188286020,Ventless Electric Compact 240V,Heat Pump,240,4.1,34,23.5,27,5.7,149,46,NORMAL REGULAR DRY,"Time remaining display,Drum light,Filter cleaning indicator",Ventless,No,,,,5.78,Yes,"2318079, 2318129, 2318132, 2318133",06/01/2015,01/20/2017,"United States, Canada",ES_1036108_DHP24412W_01202017205610_5770588,Yes
2238756,Bosch,WTG86401UC,WTG86401UC,,825225912774,Ventless Electric Compact 240V,,240,4,34,24,25,2.73,311,30,Cotton Dry,Sanitization cycle,Ventless,No,,,,,Yes,"ES_31649_WAT28400UC_12192014125456_4933282, ES_31649_WAT28401UC_06232015164156_1305658, ES_31649_WAT28402UC_06232015164156_653955",05/01/2015,03/12/2015,"United States, Canada",ES_31649_WTG86401UC_03122015101541_6055414,No
2242246,Bosch,WTG86402UC,WTG86402UC,,825225912774,Ventless Electric Compact 240V,,240,4,34,24,25,2.73,311,30,Cotton Dry,Sanitization cycle,Ventless,No,,,,,Yes,"ES_31649_WAT28400UC_12192014125456_4933282, ES_31649_WAT28401UC_06232015164156_1305658, ES_31649_WAT28402UC_06232015164156_653955",06/16/2015,03/12/2015,"United States, Canada",ES_31649_WTG86402UC_06232015164027_9869806,No
2292846,Crosley,CED7464G**,CED7464G**,,883049444345,Electric,,,7.4,34,24,25,3.93,608,76,"NORMAL CYCLE, MEDIUM HEAT, NORMAL DRYNESS LEVEL, ECO","Time remaining display,Wrinkle prevention option,Other",Vented,No,,,,,Yes,ES_92264_CFWH4084G**_01282017165803_2683820,03/13/2017,01/27/2017,United States,ES_22856_CED7464G**_03232017015519_4119093,No
2324976,Crosley,M75E_1_M,YFD45ESPM***,",YFD45ESPMDG,",084691841562,Electric,,,7.5,39.38,27,33,3.93,608,59,"COTTONS CYCLE WITH THE DEFAULT TEMPERATURE SETTING OF LOW, DRYNESS SETTING OF DRY, AND DEFAULT EDRY ON","Drum light,Time remaining display",Vented,No,,,,,,,09/03/2018,08/21/2018,United States,ES_92264_YFD45ESPM***_08222018135717_6237014,No
2324982,Crosley,M75E_1_M,YFD45ESSM***,",YFD45ESSMWW,",084691841531,Electric,,,7.5,39.38,27,33,3.93,608,59,"COTTONS CYCLE WITH THE DEFAULT TEMPERATURE SETTING OF LOW, DRYNESS SETTING OF DRY, AND DEFAULT EDRY ON","Drum light,Time remaining display",Vented,No,,,,,,,09/03/2018,08/21/2018,United States,ES_92264_YFD45ESSM***_08222018140211_6531273,No
2325256,Crosley,M75G_4_M,YFD45GSPM***,",YFD45GSPMDG,",084691841579,Gas,,,7.5,39.38,27,33,3.48,687,64,"COTTONS CYCLE WITH THE DEFAULT TEMPERATURE SETTING OF LOW, DRYNESS SETTING OF DRY, AND DEFAULT EDRY ON","Drum light,Time remaining display",Vented,No,,,,,,,09/03/2018,08/21/2018,United States,ES_92264_YFD45GSPM***_09032018170822_4502137,No
2325257,Crosley,M75G_4_M,YFD45GSSM***,",YFD45GSSMWW,",084691841548,Gas,,,7.5,39.38,27,33,3.48,687,64,"COTTONS CYCLE WITH THE DEFAULT TEMPERATURE SETTING OF LOW, DRYNESS SETTING OF DRY, AND DEFAULT EDRY ON","Drum light,Time remaining display",Vented,No,,,,,,,09/03/2018,08/21/2018,United States,ES_92264_YFD45GSSM***_09032018161719_1439534,No
2286359,Electrolux,EFDC317****,EFDC317****,,012505386992,Electric,,,8,38,0,31.25,3.93,608,50,"NORMAL, NORMAL TEMP, NORMAL DRY, ECO","Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Other,Energy monitor/indicator,Filter cleaning indicator,Sanitization cycle",Vented,No,,,,,Yes,ES_1021080_EFLW317****_02052018061855_70167392,01/02/2017,12/16/2016,Canada,ES_1021080_EFDC317****_12162016171353_8433822,No
2286360,Electrolux,EFDE317****,EFDE317****,,012505386985,Electric,,,8,38,0,31.25,3.93,608,50,"NORMAL, NORMAL TEMP, NORMAL DRY, ECO","Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Other,Energy monitor/indicator,Filter cleaning indicator,Sanitization cycle",Vented,No,,,,,Yes,ES_1021080_EFLW317****_02052018061855_70167392,01/02/2017,12/16/2016,United States,ES_1021080_EFDE317****_12162016171416_8456738,No
2286361,Electrolux,EFDG317****,EFDG317****,,012505387005,Gas,,,8,38,0,31.25,3.48,687,54,"NORMAL, NORMAL TEMP, NORMAL DRY, ECO","Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Other,Energy monitor/indicator,Filter cleaning indicator,Sanitization cycle",Vented,No,,,,,Yes,ES_1021080_EFLW317****_02052018061855_70167392,01/02/2017,12/16/2016,"United States, Canada",ES_1021080_EFDG317****_12162016171438_8478212,No
2260139,Electrolux,EFMC417****,EFMC417****,,1,Electric,,,8,38,27.13,31.25,3.93,608,50,NORMAL / NORMAL TEMP / NORMAL DRY / ECO,"Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Other,Energy monitor/indicator,Filter cleaning indicator,Sanitization cycle",Vented,No,,,,,No,,02/09/2016,02/19/2016,Canada,ES_1021080_EFMC417****_02152016192610_4370218,No
2310931,Electrolux,EFMC427****,EFMC427****,,012505387319,Electric,,,8,38,27.13,31.25,3.93,608,50,NORMAL / NORMAL TEMP / NORMAL DRY / ECO,"Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Other,Energy monitor/indicator,Filter cleaning indicator,Sanitization cycle",Vented,No,,,,,Yes,ES_1021080_EFLW427****_02072018120848_70172556,02/06/2018,02/22/2018,Canada,ES_1021080_EFMC427****_02222018171401_9641061,No
2260144,Electrolux,EFMC517****,EFMC517****,,1,Electric,,,8,38,27.13,31.25,3.93,608,50,NORMAL / NORMAL TEMP / NORMAL DRY / ECO,"Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Other,Energy monitor/indicator,Filter cleaning indicator,Sanitization cycle",Vented,No,,,,,Yes,ES_1021080_EFLS517****_01152018115400_70163739,02/09/2016,02/19/2016,Canada,ES_1021080_EFMC517****_02152016192415_4255737,No
2310932,Electrolux,EFMC527****,EFMC527****,,012505387340,Electric,,,8,38,27.13,31.25,3.93,608,50,NORMAL / NORMAL TEMP / NORMAL DRY / ECO,"Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Other,Energy monitor/indicator,Filter cleaning indicator,Sanitization cycle",Vented,No,,,,,Yes,ES_1021080_EFLS527****_01152018115400_70163739,02/06/2018,02/22/2018,Canada,ES_1021080_EFMC527****_02222018171422_9662931,No
2260140,Electrolux,EFMC617****,EFMC617****,,1,Electric,,,8,38,27.13,31.25,3.93,608,50,NORMAL / NORMAL TEMP / NORMAL DRY / ECO,"Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Other,Energy monitor/indicator,Filter cleaning indicator,Sanitization cycle",Vented,No,,,,,Yes,ES_1021080_EFLS617****_02072018120848_70172556,02/09/2016,02/19/2016,Canada,ES_1021080_EFMC617****_02152016192222_4142744,No
2310933,Electrolux,EFMC627****,EFMC627****,,012505387401,Electric,,,8,38,27.13,31.25,3.93,608,50,NORMAL / NORMAL TEMP / NORMAL DRY / ECO,"Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Other,Energy monitor/indicator,Filter cleaning indicator,Sanitization cycle",Vented,No,,,,,Yes,ES_1021080_EFLS627****_02072018120848_70172556,02/06/2018,02/22/2018,Canada,ES_1021080_EFMC627****_02222018171439_9679679,No
2260141,Electrolux,EFME417****,EFME417****,,1,Electric,,,8,38,27.13,31.25,3.93,608,50,NORMAL / NORMAL TEMP / NORMAL DRY / ECO,"Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Other,Energy monitor/indicator,Filter cleaning indicator,Sanitization cycle",Vented,No,,,,,No,,02/09/2016,02/19/2016,United States,ES_1021080_EFME417****_02152016192532_4332028,No
2310934,Electrolux,EFME427****,EFME427****,,012505387302,Electric,,,8,38,27.13,31.25,3.93,608,50,NORMAL / NORMAL TEMP / NORMAL DRY / ECO,"Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Other,Energy monitor/indicator,Filter cleaning indicator,Sanitization cycle",Vented,No,,,,,Yes,ES_1021080_EFLW427****_02072018120848_70172556,02/06/2018,02/22/2018,United States,ES_1021080_EFME427****_02222018171459_9699389,No
2260142,Electrolux,EFME517****,EFME517****,,1,Electric,,,8,38,27.13,31.25,3.93,608,50,NORMAL / NORMAL TEMP / NORMAL DRY / ECO,"Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Other,Energy monitor/indicator,Filter cleaning indicator,Sanitization cycle",Vented,No,,,,,Yes,ES_1021080_EFLS517****_01152018115400_70163739,02/09/2016,02/19/2016,United States,ES_1021080_EFME517****_02152016192300_4180414,No
2310935,Electrolux,EFME527****,EFME527****,,012505387333,Electric,,,8,38,27.13,31.25,3.93,608,50,NORMAL / NORMAL TEMP / NORMAL DRY / ECO,"Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Other,Energy monitor/indicator,Filter cleaning indicator,Sanitization cycle",Vented,No,,,,,Yes,ES_1021080_EFLS527****_01152018115400_70163739,02/06/2018,02/22/2018,United States,ES_1021080_EFME527****_02222018171513_9713937,No
2260143,Electrolux,EFME617****,EFME617****,,1,Electric,,,8,38,27.13,31.25,3.93,608,50,NORMAL / NORMAL TEMP / NORMAL DRY / ECO,"Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Other,Energy monitor/indicator,Filter cleaning indicator,Sanitization cycle",Vented,No,,,,,Yes,ES_1021080_EFLS617****_02072018120848_70172556,02/09/2016,02/19/2016,United States,ES_1021080_EFME617****_02152016192144_4104308,No
2310936,Electrolux,EFME627****,EFME627****,,012505387395,Electric,,,8,38,27.13,31.25,3.93,608,50,NORMAL / NORMAL TEMP / NORMAL DRY / ECO,"Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Other,Energy monitor/indicator,Filter cleaning indicator,Sanitization cycle",Vented,No,,,,,Yes,ES_1021080_EFLS627****_02072018120848_70172556,02/06/2018,02/22/2018,United States,ES_1021080_EFME627****_02222018171531_9731920,No
2260145,Electrolux,EFMG417****,EFMG417****,,1,Gas,,,8,38,27.13,31.25,3.48,687,54,NORMAL / NORMAL TEMP / NORMAL DRY / ECO,"Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Other,Energy monitor/indicator,Filter cleaning indicator,Sanitization cycle",Vented,No,,,,,No,,02/09/2016,02/19/2016,"United States, Canada",ES_1021080_EFMG417****_02152016205418_9658434,No
2310937,Electrolux,EFMG427****,EFMG427****,,012505387326,Gas,,,8,38,27.13,31.25,3.48,687,55,NORMAL / NORMAL TEMP / NORMAL DRY / ECO,"Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Other,Energy monitor/indicator,Filter cleaning indicator,Sanitization cycle",Vented,No,,,,,Yes,ES_1021080_EFLW427****_02072018120848_70172556,02/06/2018,02/22/2018,"United States, Canada",ES_1021080_EFMG427****_02222018172534_0334657,No
2260146,Electrolux,EFMG517****,EFMG517****,,1,Gas,,,8,38,27.13,31.25,3.48,687,54,NORMAL / NORMAL TEMP / NORMAL DRY / ECO,"Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Other,Energy monitor/indicator,Filter cleaning indicator,Sanitization cycle",Vented,No,,,,,Yes,ES_1021080_EFLS517****_01152018115400_70163739,02/09/2016,02/19/2016,"United States, Canada",ES_1021080_EFMG517****_02152016205314_9594244,No
2310938,Electrolux,EFMG527****,EFMG527****,,012505387357,Gas,,,8,38,27.13,31.25,3.48,687,55,NORMAL / NORMAL TEMP / NORMAL DRY / ECO,"Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Other,Energy monitor/indicator,Filter cleaning indicator,Sanitization cycle",Vented,No,,,,,Yes,ES_1021080_EFLS527****_01152018115400_70163739,02/06/2018,02/22/2018,"United States, Canada",ES_1021080_EFMG527****_02222018172549_0349492,No
2260147,Electrolux,EFMG617****,EFMG617****,,1,Gas,,,8,38,27.13,31.25,3.48,687,54,NORMAL / NORMAL TEMP / NORMAL DRY / ECO,"Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Other,Energy monitor/indicator,Filter cleaning indicator,Sanitization cycle",Vented,No,,,,,Yes,ES_1021080_EFLS617****_02072018120848_70172556,02/09/2016,02/19/2016,"United States, Canada",ES_1021080_EFMG617****_02152016205232_9552616,No
2310939,Electrolux,EFMG627****,EFMG627****,,012505387418,Gas,,,8,38,27.13,31.25,3.48,687,55,NORMAL / NORMAL TEMP / NORMAL DRY / ECO,"Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Other,Energy monitor/indicator,Filter cleaning indicator,Sanitization cycle",Vented,No,,,,,Yes,ES_1021080_EFLS627****_02072018120848_70172556,02/06/2018,02/22/2018,"United States, Canada",ES_1021080_EFMG627****_02222018172603_0363110,No
2265522,Maytag,MED8100D*+,MED8100D*+,,8,Electric,,,7.3,38,27,30,3.93,608,66,"NORMAL CYCLE, ENERGY SAVER, AUTOMATIC TERMINATION, MEDIUM HEAT, NORMAL DRYNESS LEVEL.","Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Other,Energy monitor/indicator,Sanitization cycle,Filter cleaning indicator",Vented,No,,,,,Yes,ES_0022856_MHW8100D*+_02102015015120_70023227,06/01/2016,04/28/2016,United States,ES_22856_MED8100D*+_04282016180248_6568644,No
2265526,Maytag,MED8150EC*,MED8150EC*,,8,Electric,,,7.3,38,27,30,3.93,608,75,"NORMAL CYCLE, ENERGY SAVER, AUTOMATIC TERMINATION, MEDIUM HEAT, NORMAL DRYNESS LEVEL.","Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Other,Energy monitor/indicator,Sanitization cycle,Filter cleaning indicator",Vented,No,,,,,Yes,ES_0022856_MHW8150E**_08262015122737_8888888,06/01/2016,04/28/2016,United States,ES_22856_MED8150EC*_04282016181030_7030145,No
2265527,Maytag,MED8150EW*,MED8150EW*,,8,Electric,,,7.3,38,27,30,3.93,608,75,"NORMAL CYCLE, ENERGY SAVER, AUTOMATIC TERMINATION, MEDIUM HEAT, NORMAL DRYNESS LEVEL.","Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Other,Energy monitor/indicator,Sanitization cycle,Filter cleaning indicator",Vented,No,,,,,Yes,ES_0022856_MHW8150E**_08262015122737_8888888,06/01/2016,04/28/2016,United States,ES_22856_MED8150EW*_04282016181045_7045337,No
2265534,Maytag,MED8200FC*,MED8200FC*,,8,Electric,,,7.4,38,27,31,3.93,608,72,"NORMAL CYCLE, ENERGY SAVER, AUTOMATIC TERMINATION, MEDIUM HEAT, NORMAL DRYNESS LEVEL.","Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Other,Energy monitor/indicator,Sanitization cycle,Filter cleaning indicator",Vented,No,,,,,No,,06/01/2016,04/28/2016,United States,ES_22856_MED8200FC*_04282016181857_7537735,No
2265535,Maytag,MED8200FW*,MED8200FW*,,8,Electric,,,7.4,38,27,31,3.93,608,72,"NORMAL CYCLE, ENERGY SAVER, AUTOMATIC TERMINATION, MEDIUM HEAT, NORMAL DRYNESS LEVEL.","Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Other,Energy monitor/indicator,Sanitization cycle,Filter cleaning indicator",Vented,No,,,,,No,,06/01/2016,04/28/2016,United States,ES_22856_MED8200FW*_04282016181916_7556540,No
2327900,Maytag,MED8630H**,MED8630H**,,883049457666,Electric,,,7.3,38,27,31,3.93,608,75,"NORMAL, HIGH HEAT (5 BARS), DRYNESS LEVEL, NORMAL (2 BARS), AUTO TERM","Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Sanitization cycle",Vented,Yes,Wi-Fi,Other,No,,Yes,ES_15649_MHW8630H**_10142018185059_3059240,10/22/2018,09/26/2018,United States,ES_1129244_MED8630H**_10142018215052_3852507,No
2265539,Maytag,MEDB835D*+,MEDB835D*+,,8,Electric,,,8.8,45,29,32,3.93,608,66,"ENERGY SAVER, NORMAL CYCLE, AUTOMATIC TERMINATION, HIGH HEAT, NORMAL DRYNESS LEVEL.","Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Other,Energy monitor/indicator,Sanitization cycle,Filter cleaning indicator",Vented,No,,,,,Yes,ES_0022856_MVWB835D*+_02102015015120_70023227,06/01/2016,04/28/2016,United States,ES_22856_MEDB835D*+_04282016182641_8001700,No
2265540,Maytag,MEDB855D*+,MEDB855D*+,,8,Electric,,,8.8,45,29,32,3.93,608,67,"ENERGY SAVER, NORMAL CYCLE, AUTOMATIC TERMINATION, HIGH HEAT, NORMAL DRYNESS LEVEL.","Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Other,Energy monitor/indicator,Sanitization cycle,Filter cleaning indicator",Vented,No,,,,,Yes,ES_0022856_MVWB855D*+_02102015015120_70023227,06/01/2016,04/28/2016,United States,ES_22856_MEDB855D*+_04282016182853_8133719,No
2282546,Maytag,MEDB955FC*,MEDB955FC*,,883049362205,Electric,,,9.2,41,29,33,3.93,608,76,"ENERGY SAVER, NORMAL CYCLE, AUTOMATIC TERMINATION, HIGH HEAT, NORMAL DRYNESS LEVEL.","Wrinkle prevention option,Steam cycle,Sanitization cycle",Vented,No,,,,,Yes,ES_22856_MVWB955F**_08222016220340_3420991,04/25/2016,10/27/2016,United States,ES_22856_MEDB955FC*_10272016163804_6284667,No
2282547,Maytag,MEDB955FS*,MEDB955FS*,,883049390918,Electric,,,9.2,41,29,33,3.93,608,76,"ENERGY SAVER, NORMAL CYCLE, AUTOMATIC TERMINATION, HIGH HEAT, NORMAL DRYNESS LEVEL.","Wrinkle prevention option,Steam cycle,Sanitization cycle",Vented,No,,,,,Yes,ES_22856_MVWB955F**_08222016220340_3420991,04/25/2016,10/27/2016,United States,ES_22856_MEDB955FS*_10272016164112_6472963,No
2282548,Maytag,MEDB955FW*,MEDB955FW*,,883049362199,Electric,,,9.2,41,29,33,3.93,608,76,"ENERGY SAVER, NORMAL CYCLE, AUTOMATIC TERMINATION, HIGH HEAT, NORMAL DRYNESS LEVEL.","Wrinkle prevention option,Steam cycle,Sanitization cycle",Vented,No,,,,,Yes,ES_22856_MVWB955F**_08222016220340_3420991,04/25/2016,10/27/2016,United States,ES_22856_MEDB955FW*_10272016170521_7921256,No
2327895,Maytag,MGD5630H**,MGD5630H**,,883049458281,Gas,,,7.3,38,27,31,3.48,687,68,"NORMAL, HIGH HEAT (5 BARS), DRYNESS LEVEL, NORMAL (2 BARS), AUTO TERM","Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Sanitization cycle",Vented,No,,,No,,Yes,ES_15649_MHW5630H**_10142018184935_2975704,10/22/2018,09/26/2018,United States,ES_1129244_MGD5630H**_10142018213837_3117201,No
2327896,Maytag,MGD6630H**,MGD6630H**,,883049458298,Gas,,,7.3,38,27,31,3.48,687,68,"NORMAL, HIGH HEAT (5 BARS), DRYNESS LEVEL, NORMAL (2 BARS), AUTO TERM","Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Sanitization cycle",Vented,No,,,No,,Yes,ES_15649_MHW6630H**_10142018185017_3017925,10/22/2018,09/26/2018,United States,ES_1129244_MGD6630H**_10142018213725_3045415,No
2327897,Maytag,MGD8630H**,MGD8630H**,,883049458809,Gas,,,7.3,38,27,31,3.48,687,68,"NORMAL, HIGH HEAT (5 BARS), DRYNESS LEVEL, NORMAL (2 BARS), AUTO TERM","Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Sanitization cycle",Vented,Yes,Wi-Fi,Other,No,,Yes,ES_15649_MHW8630H**_10142018185059_3059240,10/22/2018,09/26/2018,United States,ES_1129244_MGD8630H**_10142018213503_2903417,No
2282557,Maytag,MGDB955FC*,MGDB955FC*,,883049362342,Gas,,,9.2,41,29,33,3.48,687,61,"ENERGY SAVER, NORMAL CYCLE, AUTOMATIC TERMINATION, HIGH HEAT, NORMAL DRYNESS LEVEL.","Wrinkle prevention option,Steam cycle,Sanitization cycle",Vented,No,,,,,Yes,ES_22856_MVWB955F**_08222016220340_3420991,04/25/2016,10/27/2016,United States,ES_22856_MGDB955FC*_10272016172204_8924063,No
2282558,Maytag,MGDB955FS*,MGDB955FS*,,883049390932,Gas,,,9.2,41,29,33,3.48,687,60,"ENERGY SAVER, NORMAL CYCLE, AUTOMATIC TERMINATION, HIGH HEAT, NORMAL DRYNESS LEVEL.","Wrinkle prevention option,Steam cycle,Sanitization cycle",Vented,No,,,,,Yes,ES_22856_MVWB955F**_08222016220340_3420991,04/25/2016,10/27/2016,United States,ES_22856_MGDB955FS*_10272016172337_9017668,No
2282559,Maytag,MGDB955FW*,MGDB955FW*,,883049362335,Gas,,,9.2,41,29,33,3.48,687,60,"ENERGY SAVER, NORMAL CYCLE, AUTOMATIC TERMINATION, HIGH HEAT, NORMAL DRYNESS LEVEL.","Wrinkle prevention option,Steam cycle,Sanitization cycle",Vented,No,,,,,Yes,ES_22856_MVWB955F**_08222016220340_3420991,04/25/2016,10/27/2016,United States,ES_22856_MGDB955FW*_10272016172601_9161671,No
2265518,Maytag,YMED3100D*+,YMED3100D*+,,8,Electric,,,7.3,38,27,30,3.93,608,65,"NORMAL CYCLE, ENERGY SAVER, AUTOMATIC TERMINATION, MEDIUM HEAT, NORMAL DRYNESS LEVEL.","Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Other,Energy monitor/indicator,Sanitization cycle,Filter cleaning indicator",Vented,No,,,,,Yes,ES_0022856_MHW3100D*+_02102015015120_70023227,06/01/2016,04/28/2016,Canada,ES_22856_YMED3100D*+_04282016175038_5838636,No
2265536,Maytag,YMED3500FW*,YMED3500FW*,,8,Electric,,,7.4,38,27,31,3.93,608,72,"NORMAL CYCLE, ENERGY SAVER, AUTOMATIC TERMINATION, MEDIUM HEAT, NORMAL DRYNESS LEVEL.","Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Other,Energy monitor/indicator,Sanitization cycle,Filter cleaning indicator",Vented,No,,,,,No,,06/01/2016,04/28/2016,Canada,ES_22856_YMED3500FW*_04282016181945_7585499,No
2265519,Maytag,YMED4100D*+,YMED4100D*+,,8,Electric,,,7.3,38,27,30,3.93,608,65,"NORMAL CYCLE, ENERGY SAVER, AUTOMATIC TERMINATION, MEDIUM HEAT, NORMAL DRYNESS LEVEL.","Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Other,Energy monitor/indicator,Sanitization cycle,Filter cleaning indicator",Vented,No,,,,,Yes,ES_0022856_MHW4100D*+_02102015015120_70023227,06/01/2016,04/28/2016,Canada,ES_22856_YMED4100D*+_04282016175137_5897632,No
2265520,Maytag,YMED5100D*+,YMED5100D*+,,8,Electric,,,7.3,38,27,30,3.93,608,66,"NORMAL CYCLE, ENERGY SAVER, AUTOMATIC TERMINATION, MEDIUM HEAT, NORMAL DRYNESS LEVEL.","Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Other,Energy monitor/indicator,Sanitization cycle,Filter cleaning indicator",Vented,No,,,,,Yes,ES_0022856_MHW5100D*+_02102015015120_70023227,06/01/2016,04/28/2016,Canada,ES_22856_YMED5100D*+_04282016175207_5927841,No
2265537,Maytag,YMED5500FC*,YMED5500FC*,,8,Electric,,,7.4,38,27,31,3.93,608,72,"NORMAL CYCLE, ENERGY SAVER, AUTOMATIC TERMINATION, MEDIUM HEAT, NORMAL DRYNESS LEVEL.","Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Other,Energy monitor/indicator,Sanitization cycle,Filter cleaning indicator",Vented,No,,,,,No,,06/01/2016,04/28/2016,Canada,ES_22856_YMED5500FC*_04282016182002_7602079,No
2265538,Maytag,YMED5500FW*,YMED5500FW*,,8,Electric,,,7.4,38,27,31,3.93,608,72,"NORMAL CYCLE, ENERGY SAVER, AUTOMATIC TERMINATION, MEDIUM HEAT, NORMAL DRYNESS LEVEL.","Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Other,Energy monitor/indicator,Sanitization cycle,Filter cleaning indicator",Vented,No,,,,,No,,06/01/2016,04/28/2016,Canada,ES_22856_YMED5500FW*_04282016182024_7624866,No
2327901,Maytag,YMED5630H**,YMED5630H**,,883049456539,Electric,,,7.3,38,27,31,3.93,608,75,"NORMAL, HIGH HEAT (5 BARS), DRYNESS LEVEL, NORMAL (2 BARS), AUTO TERM","Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Sanitization cycle",Vented,No,,,No,,Yes,ES_15649_MHW5630H**_10142018184935_2975704,10/22/2018,09/26/2018,Canada,ES_1129244_YMED5630H**_10142018214954_3794488,No
2327902,Maytag,YMED6630H**,YMED6630H**,,883049456546,Electric,,,7.3,38,27,31,3.93,608,75,"NORMAL, HIGH HEAT (5 BARS), DRYNESS LEVEL, NORMAL (2 BARS), AUTO TERM","Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Sanitization cycle",Vented,No,,,No,,Yes,ES_15649_MHW6630H**_10142018185017_3017925,10/22/2018,09/26/2018,Canada,ES_1129244_YMED6630H**_10142018214851_3731410,No
2265523,Maytag,YMED7100D*+,YMED7100D*+,,8,Electric,,,7.3,38,27,30,3.93,608,66,"NORMAL CYCLE, ENERGY SAVER, AUTOMATIC TERMINATION, MEDIUM HEAT, NORMAL DRYNESS LEVEL.","Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Other,Energy monitor/indicator,Sanitization cycle,Filter cleaning indicator",Vented,No,,,,,Yes,ES_0022856_MHW7100D*+_02102015015120_70023227,06/01/2016,04/28/2016,Canada,ES_22856_YMED7100D*+_04282016180302_6582812,No
2265524,Maytag,YMED8100D*+,YMED8100D*+,,8,Electric,,,7.3,38,27,30,3.93,608,66,"NORMAL CYCLE, ENERGY SAVER, AUTOMATIC TERMINATION, MEDIUM HEAT, NORMAL DRYNESS LEVEL.","Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Other,Energy monitor/indicator,Sanitization cycle,Filter cleaning indicator",Vented,No,,,,,Yes,ES_0022856_MHW8100D*+_02102015015120_70023227,06/01/2016,04/28/2016,Canada,ES_22856_YMED8100D*+_04282016180318_6598724,No
